height,tx_count,total_fee_btc,sat_per_vbyte
947448,5915,0.008752270000000006,0.5351015022975889
947447,4221,0.015816780000000197,0.9595924481323389
947446,3378,0.03724973000000009,2.390696560966098
947445,6880,0.004475119999999944,0.2626467627820409
947444,4745,0.014654329999999938,0.8844559788758921
947443,5510,0.018463999999999814,1.1166724322702737
947442,3118,0.045978850000000016,2.690141537280573
947441,2344,0.027088360000000034,1.6790028263995658
947440,3039,0.03168285000000015,2.0615728880701853
947439,2752,0.03164511999999986,2.087009740880693
947451,3821,0.008910719999999817,0.45827206818289573
947450,2533,0.027475599999999822,1.742236989784584
947449,3170,0.029932679999999934,1.959617041446146
947448,5915,0.008752270000000006,0.5351015022975889
947447,4221,0.015816780000000197,0.9595924481323389
947446,3378,0.03724973000000009,2.390696560966098
947445,6880,0.004475119999999944,0.2626467627820409
947444,4745,0.014654329999999938,0.8844559788758921
947443,5510,0.018463999999999814,1.1166724322702737
947442,3118,0.045978850000000016,2.690141537280573
947749,5111,0.009995539999999803,0.633691549946702
947748,4078,0.012884239999999991,0.8331063736235308
947747,6013,0.008713240000000066,0.5196985557036772
947746,2098,0.014113239999999916,1.3574939354823736
947745,4560,0.012895159999999795,0.8400394510724487
947744,6394,0.0034818400000000693,0.19083395860543784
947743,182,0.0010447799999999674,1.9104373902866578
947742,3591,0.016876850000000054,1.06517392462362
947741,5001,0.010828769999999821,0.6946350506602234
947740,4382,0.0025433200000000156,0.10102124674641755
